"","x"
"2776",11
"2777",8
"2778",13
"2779",15
"2780",8
"2781",9
"2782",3
"2783",1
"2784",1
"2785",6
"2786",6
"2787",1
"2788",10
"2789",11
"2790",8
"2791",4
"2792",7
"2793",5
"2794",6
"2795",10
"2796",7
"2797",8
"2798",9
"2799",1
"2800",2
"2801",9
"2802",8
"2803",10
"2804",7
"2805",4
"2806",6
"2807",8
"2808",1
"2809",10
"2810",11
"2811",3
"2812",11
"2813",11
"2814",6
"2815",5
"2816",7
"2817",10
"2818",1
"2819",5
"2820",10
"2821",7
"2822",1
"2823",8
"2824",15
"2825",1
"2826",10
"2827",13
"2828",11
"2829",8
"2830",5
"2831",6
"2832",8
"2833",7
"2834",8
"2835",7
"2836",9
"2837",13
"2838",8
"2839",8
"2840",1
"2841",7
"2842",7
"2843",8
"2844",8
"2845",5
"2846",7
"2847",1
"2848",1
"2849",10
"2850",4
"2851",11
"2852",13
"2853",5
"2854",9
"2855",8
"2856",4
"2857",4
"2858",10
"2859",1
"2860",4
"2861",6
"2862",11
"2863",1
"2864",8
"2865",13
"2866",9
"2867",8
"2868",10
"2869",8
"2870",15
"2871",13
"2872",11
"2873",3
"2874",13
"2875",8
"2876",1
"2877",7
"2878",1
"2879",7
"2880",8
"2881",10
"2882",13
"2883",7
"2884",10
"2885",9
"2886",13
"2887",15
"2888",8
"2889",3
"2890",12
"2891",4
"2892",2
"2893",8
"2894",15
"2895",6
"2896",1
"2897",5
"2898",8
"2899",4
"2900",2
"2901",8
"2902",6
"2903",10
"2904",13
"2905",4
"2906",1
"2907",1
"2908",7
"2909",7
"2910",5
"2911",1
"2912",8
"2913",6
"2914",15
"2915",10
"2916",8
"2917",11
"2918",7
"2919",15
"2920",8
"2921",11
"2922",9
"2923",10
"2924",1
"2925",15
"2926",7
"2927",10
"2928",5
"2929",10
"2930",8
"2931",1
"2932",6
"2933",8
"2934",3
"2935",9
"2936",5
"2937",13
"2938",6
"2939",12
"2940",9
"2941",11
"2942",8
"2943",6
"2944",6
"2945",10
"2946",8
"2947",2
"2948",15
"2949",8
"2950",11
"2951",9
"2952",6
"2953",6
"2954",8
"2955",4
"2956",1
"2957",13
"2958",9
"2959",1
"2960",3
"2961",10
"2962",15
"2963",10
"2964",8
"2965",4
"2966",1
"2967",9
"2968",4
"2969",12
"2970",2
"2971",8
"2972",6
"2973",9
"2974",2
"2975",8
"2976",6
"2977",11
"2978",8
"2979",15
"2980",10
"2981",9
"2982",4
"2983",13
"2984",2
"2985",7
"2986",7
"2987",1
"2988",1
"2989",12
"2990",1
"2991",8
"2992",9
"2993",10
"2994",9
"2995",6
"2996",8
"2997",1
"2998",12
"2999",8
"3000",8
"3001",4
"3002",8
"3003",9
"3004",3
"3005",10
"3006",11
"3007",10
"3008",3
"3009",15
"3010",7
"3011",3
"3012",8
"3013",3
"3014",2
"3015",7
"3016",8
"3017",1
"3018",8
"3019",3
"3020",4
"3021",6
"3022",1
"3023",12
"3024",7
"3025",10
"3026",12
"3027",11
"3028",4
"3029",8
"3030",15
"3031",1
"3032",9
"3033",5
"3034",13
"3035",5
"3036",8
"3037",15
"3038",7
"3039",4
"3040",8
"3041",6
"3042",2
"3043",9
"3044",13
"3045",9
"3046",1
"3047",1
"3048",8
"3049",8
"3050",9
"3051",8
"3052",15
"3053",1
"3054",10
"3055",9
"3056",1
"3057",11
"3058",15
"3059",5
"3060",6
"3061",5
"3062",8
"3063",13
"3064",4
"3065",4
"3066",8
"3067",11
"3068",1
"3069",8
"3070",9
"3071",6
"3072",6
"3073",4
"3074",4
"3075",11
"3076",10
"3077",1
"3078",8
"3079",10
"3080",15
"3081",10
"3082",8
"3083",10
"3084",1
"3085",6
"3086",10
"3087",7
"3088",10
"3089",10
"3090",8
"3091",7
"3092",8
"3093",7
"3094",13
"3095",8
"3096",4
"3097",8
"3098",1
"3099",10
"3100",15
"3101",10
"3102",7
"3103",10
"3104",3
"3105",10
"3106",5
"3107",10
"3108",5
"3109",6
"3110",1
"3111",1
"3112",8
"3113",13
"3114",8
"3115",7
"3116",10
"3117",13
"3118",4
"3119",7
"3120",6
"3121",10
"3122",6
"3123",6
"3124",13
"3125",6
"3126",4
"3127",3
"3128",4
"3129",13
"3130",11
"3131",6
"3132",10
"3133",7
"3134",10
"3135",8
"3136",3
"3137",5
"3138",15
"3139",3
"3140",6
"3141",8
"3142",8
"3143",1
"3144",10
"3145",1
"3146",15
"3147",1
"3148",8
"3149",9
"3150",10
"3151",7
"3152",4
"3153",1
"3154",4
"3155",8
"3156",3
"3157",8
"3158",3
"3159",7
"3160",15
"3161",3
"3162",6
"3163",10
"3164",8
"3165",1
"3166",4
"3167",10
"3168",11
"3169",10
"3170",13
"3171",13
"3172",3
"3173",6
"3174",1
"3175",6
