"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0037097",5594,5936,16342,7877,7259,12370,10824,11032,11995,14407,8792,18308
"FBgn0037098",14265,2422,11309,8255,6772,4838,13533,9474,7493,7431,3931,8938
"FBgn0037099",59,30,206,350,578,2436,14677,35687,4752,598,84,250
"FBgn0037100",3,7,117,95,65,27,90,92,89,121,152,353
"FBgn0037101",1,1,7,0,6,4,7,11,7,3,4,27
"FBgn0037102",2946,3067,6140,3019,2673,3427,5285,3424,3401,3133,1967,4162
"FBgn0037104",0,0,0,0,0,0,0,0,0,1,0,0
"FBgn0037105",1403,579,2129,1041,989,1138,2180,632,679,476,252,730
"FBgn0037106",3088,3580,4272,800,1243,968,2003,1121,1024,510,633,1378
"FBgn0037107",2,9,38,23,61,458,1316,720,1054,879,445,1420
"FBgn0037108",3365,1793,10259,7809,7333,12980,12559,6349,5605,4115,1641,3801
"FBgn0037109",12831,7527,15613,10568,8675,7483,9110,5292,3962,3316,1986,3964
"FBgn0037110",1372,170,845,484,513,703,760,535,523,724,489,1024
"FBgn0037114",2,7,45,152,177,236,410,276,108,92,36,94
"FBgn0037115",1,7,73,74,88,50,117,113,48,75,129,176
"FBgn0037116",9028,1695,836,1721,2647,3498,5256,3269,3063,3797,2013,4490
"FBgn0037117",3377,2331,3700,2285,2909,3869,5536,2044,2137,1512,1809,3640
"FBgn0037120",2994,1324,6424,4022,4472,5375,8195,2982,2558,2002,787,2100
"FBgn0037121",2058,1511,5704,4809,4294,5215,4864,2847,1916,1564,1089,1923
"FBgn0037122",22,119,269,97,77,86,76,287,3381,13121,295,608
"FBgn0037123",12,19,14,18,98,105,30,245,2021,31031,10762,24637
"FBgn0037124",17,8,8,10,44,32,29,300,2871,34606,2177,6704
"FBgn0037125",12,18,12,6,36,42,44,383,2746,32433,1785,5293
"FBgn0037126",1,1,0,13,41,78,269,736,278,143,103,233
"FBgn0037127",3,4,18,30,30,53,27,59,286,5000,5045,8144
"FBgn0037128",9,9,30,66,184,94,49,76,421,10155,4636,11781
"FBgn0037129",21,15,5,9,41,45,26,156,860,29063,10139,31258
"FBgn0037130",10,22,28,51,91,396,1217,1706,2158,2364,1070,2652
"FBgn0037131",2,1,0,11,9,27,112,327,169,464,76,238
"FBgn0037133",1,2,3,9,14,40,121,92,189,173,81,317
"FBgn0037134",1597,1077,1821,952,904,959,908,497,506,402,363,643
"FBgn0037135",28877,37593,88049,45446,46419,57639,58302,50086,41287,42724,25157,48469
"FBgn0037137",18268,26133,63862,27932,23774,14108,28609,12473,10441,7035,12065,21428
"FBgn0037138",6850,681,495,502,870,2110,4066,4177,6870,7387,4466,11532
"FBgn0037139",0,0,0,0,2,0,0,0,22,218,137,276
"FBgn0037140",19,50,267,258,577,2103,2476,1914,1330,2054,2032,4840
"FBgn0037141",3105,510,3039,2054,1467,917,803,342,248,229,129,303
"FBgn0037142",5622,1542,5020,4015,3184,2434,5035,2901,2754,2439,1051,2343
"FBgn0037143",13,8,28,28,18,13,32,3,12,14,4,13
"FBgn0037144",3533,832,588,1093,2107,2891,2611,1979,1410,2175,1821,3376
"FBgn0037146",70,83,494,2675,4132,10808,11870,14769,16156,24928,15162,37190
"FBgn0037147",1,2,4,1,4,1,2,2,5,6,0,2
"FBgn0037149",3294,7463,8771,2836,1772,1222,1173,436,243,235,71,230
"FBgn0037150",2399,2474,2678,1099,1335,1168,2147,1057,1050,537,583,1514
"FBgn0037151",1167,355,1625,943,709,582,318,128,104,94,59,122
"FBgn0037152",0,3,5,8,6,2,8,4,3,4,0,1
"FBgn0037153",57,572,5627,6765,8073,8808,15531,10688,5638,4614,1540,3435
"FBgn0037156",4057,3819,3844,2385,2515,2391,2762,1967,1553,1020,1005,1628
"FBgn0037162",1,2,1,8,7,124,138,133,103,95,18,34
"FBgn0037163",78,104,252,219,176,369,446,1176,1827,2774,2418,5169
"FBgn0037164",16,29,42,76,103,1876,2567,3191,798,1615,1220,1907
"FBgn0037165",8,15,14,112,152,2152,3131,960,472,1679,1541,2284
"FBgn0037166",10,11,60,67,158,1707,1937,1776,1433,1765,813,2063
"FBgn0037167",1,0,0,1,2,30,19,20,14,125,274,674
"FBgn0037168",0,0,0,2,2,0,0,1,1,0,1,5
"FBgn0037169",0,0,5,2,4,1,0,0,0,2,2,5
"FBgn0037170",1,0,2,0,3,0,3,2,3,3,4,6
"FBgn0037171",0,3,1,1,1,3,3,3,5,15,19,29
"FBgn0037172",0,0,0,2,1,1,2,2,2,2,2,0
"FBgn0037174",3,13,104,107,101,99,191,309,1045,927,113,243
"FBgn0037175",0,1,2,4,1,2,5,3,5,23,34,91
"FBgn0037176",2,2,6,10,12,44,51,145,652,1802,1130,2771
"FBgn0037177",5,0,2,11,23,18,9,106,1281,3103,1867,3795
"FBgn0037178",0,0,0,1,0,0,0,4,15,21,16,25
